iter	Passed	Remaining
0	0	84
1	1	76
2	2	71
3	2	66
4	3	64
5	3	62
6	4	61
7	5	60
8	6	61
9	6	60
10	7	60
11	8	59
12	8	58
13	9	57
14	9	56
15	10	55
16	11	54
17	11	53
18	12	53
19	13	52
20	13	51
21	14	50
22	14	50
23	15	49
24	16	48
25	16	48
26	17	47
27	18	46
28	18	46
29	19	45
30	20	45
31	21	44
32	21	44
33	22	44
34	23	43
35	24	43
36	25	42
37	25	42
38	26	41
39	27	40
40	28	40
41	28	39
42	29	38
43	29	37
44	30	37
45	31	36
46	31	36
47	32	35
48	33	34
49	34	34
50	35	33
51	35	33
52	36	32
53	37	31
54	37	30
55	38	30
56	39	29
57	39	28
58	40	28
59	41	27
60	41	26
61	42	26
62	43	25
63	44	24
64	45	24
65	45	23
66	46	22
67	47	22
68	48	21
69	48	20
70	49	20
71	50	19
72	51	18
73	51	18
74	52	17
75	52	16
76	53	16
77	54	15
78	54	14
79	55	13
80	56	13
81	56	12
82	57	11
83	58	11
84	59	10
85	59	9
86	60	9
87	61	8
88	62	7
89	62	6
90	64	6
91	65	5
92	66	4
93	66	4
94	67	3
95	68	2
96	68	2
97	69	1
98	70	0
99	70	0
